Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Web Description,Hacking/IT Incident,Other,Unauthorized Access/Disclosure,Theft,Improper Disposal,Loss,Unknown,Name of Covered Entity clean,Year,Month,Day,quarter,dayofweek,is_weekend,weekofyear,Desktop Computer,Electronic Medical Record,Email,Laptop,Network Server,Other Portable Electronic Device,Paper/Films,Yes,No
"CEMEX, Inc.",TX,Health Plan,880.0,2015-04-27,Hacking/IT Incident,Network Server,Yes,"Blue Cross and Blue Shield of Texas, a business associate (BA) of CEMEX, Inc., the covered entity (CE), stored the CE’s electronic protected health information (ePHI) on computer servers belonging to its parent corporation, Anthem, Inc.  Anthem experienced a series of cyberattacks which exposed the electronic protected health information (ePHI) of almost 79 million people, affecting 880 individuals who received health insurance from the CE.  The ePHI involved included names, social security numbers, medical identification numbers, addresses, dates of birth, email addresses, and employment information. OCR reviewed the BA agreement and determined that it appeared to comply with the requirements of the HIPAA Privacy and Security Rules. OCR opened a separate review of Anthem, which resulted in Anthem agreeing to pay a monetary settlement and undertaking a robust corrective action plan to comply with the HIPAA Rules.",1.0,0,0.0,0.0,0.0,0.0,0.0,CEMEX ,2015.0,4.0,27.0,2.0,0.0,0,18.0,0,0,0,0,1,0,0,1,0
"St.Vincent Medical Group, Inc.",IN,Healthcare Provider,756.0,2015-04-10,Hacking/IT Incident,Email,No,"St. Vincent Medical Group, Inc., the covered entity (CE), reported that on December 3, 2014, it learned that an employee’s user name and password had been compromised as a result of a phishing email attack.  This breach affected approximately 756 individuals.  The protected health information (PHI) involved in the breach included names, addresses, dates of birth, clinical information, and in some cases, and social security numbers.  The CE provided breach notification to HHS, affected individuals, and the media.  Following the breach, the CE disabled and reset the password for the email account responsible for the breach, and required the employee to reset their password.  It also deployed software to scan internet addresses in employees’ emails to determine if they are malicious, and required phishing training for all employees.  OCR obtained documented assurances that the CE implemented the corrective action steps listed above.",1.0,0,0.0,0.0,0.0,0.0,0.0,StVincent Medical Group ,2015.0,4.0,10.0,2.0,4.0,0,15.0,0,0,1,0,0,0,0,0,1
"International Union of Operating Engineers Local Unions 181, 320 & TVA Health and Welfare Trust Fund",KY,Health Plan,5440.0,2015-04-09,Hacking/IT Incident,Network Server,Yes,"Anthem Health Plans of Kentucky, Inc., a business associate (BA) of International Union of Operating Engineers Local Unions 181, 320 & TVA Health and Welfare Trust Fund, the covered entity (CE), stored the CE’s electronic protected health information (ePHI) on computer servers belonging to its parent corporation, Anthem, Inc.  Anthem experienced a series of cyberattacks which exposed the electronic protected health information (ePHI) of almost 79 million people, affecting 5,440 individuals who received health insurance from the CE. The ePHI involved included names, social security numbers, medical identification numbers, addresses, dates of birth, email addresses, and employment information. OCR reviewed the BA agreement and determined that it appeared to comply with the requirements of the HIPAA Privacy and Security Rules. OCR opened a separate review of Anthem, which resulted in Anthem agreeing to pay a monetary settlement and undertaking a robust corrective action plan to comply with the HIPAA Rules.",1.0,0,0.0,0.0,0.0,0.0,0.0,International Union of Operating Engineers Local Unions 181 320  TVA Health  Welfare Trust Fund,2015.0,4.0,9.0,2.0,3.0,0,15.0,0,0,0,0,1,0,0,1,0
ADT LLC Group Health & Welfare Plan,FL,Health Plan,3074.0,2015-04-07,Hacking/IT Incident,Network Server,No,"Blue Cross and Blue Shield of Alabama, a business associate (BA) of ADT LLC Group Health & Welfare Plan, the covered entity (CE), stored the CE’s electronic protected health information (ePHI) on computer servers belonging to its parent corporation, Anthem, Inc.  Anthem experienced a series of cyberattacks which exposed the electronic protected health information (ePHI) of almost 79 million people, affecting 3,074 individuals who received health insurance from the CE. The ePHI involved included names, social security numbers, medical identification numbers, addresses, dates of birth, email addresses, and employment information. OCR opened a separate review of Anthem, which resulted in Anthem agreeing to pay a monetary settlement and undertaking a robust corrective action plan to comply with the HIPAA Rules.",1.0,0,0.0,0.0,0.0,0.0,0.0,ADT  Group Health  Welfare Plan,2015.0,4.0,7.0,2.0,1.0,0,15.0,0,0,0,0,1,0,0,0,1
Health Plan sponsored by Covenant Ministries of Benevolance,IL,Health Plan,782.0,2015-04-03,Hacking/IT Incident,Network Server,Yes,"Blue Cross and Blue Shield of Illinois, a business associate (BA) of Health Plan sponsored by Covenant Ministries of Benevolence, the covered entity (CE), stored the CE’s electronic protected health information (ePHI) on computer servers belonging to its parent corporation, Anthem, Inc.  Anthem experienced a series of cyberattacks which exposed the electronic protected health information (ePHI) of almost 79 million people, affecting 782 individuals who received health insurance from the CE.  The ePHI involved included names, social security numbers, medical identification numbers, addresses, dates of birth, email addresses, and employment information.  OCR reviewed the BA agreement and determined that it appeared to comply with the requirements of the HIPAA Privacy and Security Rules.  OCR opened a separate review of Anthem, which resulted in Anthem agreeing to pay a monetary settlement and undertaking a robust corrective action plan to comply with the HIPAA Rules.",1.0,0,0.0,0.0,0.0,0.0,0.0,Health Plan sponsored by Covenant Ministries of Benevolance,2015.0,4.0,3.0,2.0,4.0,0,14.0,0,0,0,0,1,0,0,1,0
Schaeffler Group USA,SC,Health Plan,550.0,2015-04-02,Hacking/IT Incident,Network Server,No,"Blue Cross and Blue Shield of South Carolina, a business associate (BA) of Schaeffler Group USA, the covered entity (CE), stored the CE’s electronic protected health information (ePHI) on computer servers belonging to its parent corporation, Anthem, Inc.  Anthem experienced a series of cyberattacks which exposed the electronic protected health information (ePHI) of almost 79 million people, affecting 550 individuals who received health insurance from the CE. The ePHI involved included names, social security numbers, medical identification numbers, addresses, dates of birth, email addresses, and employment information. OCR opened a separate review of Anthem, which resulted in Anthem agreeing to pay a monetary settlement and undertaking a robust corrective action plan to comply with the HIPAA Rules.",1.0,0,0.0,0.0,0.0,0.0,0.0,Schaeffler Group USA,2015.0,4.0,2.0,2.0,3.0,0,14.0,0,0,0,0,1,0,0,0,1
New,FL,Health Plan,500.0,2015-03-27,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Email, Network Server",No,Entity is not covered by HIPAA. ,1.0,0,0.0,0.0,0.0,0.0,0.0,New,2015.0,3.0,27.0,1.0,4.0,0,13.0,1,1,1,0,1,0,0,0,1
"7-Eleven, Inc. Comprehensive Welfare Benefits Plan No. 525",TX,Health Plan,1688.0,2015-03-25,Hacking/IT Incident,Network Server,Yes,"Blue Cross and Blue Shield of Texas, a business associate (BA) of 7-Eleven Comprehensive Welfare Benefits Plan No. 525, the covered entity (CE), stored the CE’s electronic protected health information (ePHI) on computer servers belonging to its parent corporation, Anthem, Inc.  Anthem experienced a series of cyberattacks which exposed the electronic protected health information (ePHI) of almost 79 million people, affecting 1,688 individuals who received health insurance from the CE. The ePHI involved included names, social security numbers, medical identification numbers, addresses, dates of birth, email addresses, and employment information.  OCR reviewed the BA agreement and determined that it appeared to comply with the requirements of the HIPAA Privacy and Security Rules. OCR opened a separate review of Anthem, which resulted in Anthem agreeing to pay a monetary settlement and undertaking a robust corrective action plan to comply with the HIPAA Rules.",1.0,0,0.0,0.0,0.0,0.0,0.0,7Eleven  Comprehensive Welfare Benefits Plan No 525,2015.0,3.0,25.0,1.0,2.0,0,13.0,0,0,0,0,1,0,0,1,0
McDermott Will & Emery LLP is the plan sponsor for the McDermott medical plan,IL,Health Plan,880.0,2015-03-24,Hacking/IT Incident,Network Server,Yes,"Blue Cross and Blue Shield of Illinois, a business associate (BA) of McDermott Will & Emery LLP, plan sponsor for the McDermott medical plan, the covered entity (CE), stored the CE’s electronic protected health information (ePHI) on computer servers belonging to its parent corporation, Anthem, Inc.  Anthem experienced a series of cyberattacks which exposed the electronic protected health information (ePHI) of almost 79 million people, affecting 880 individuals who received health insurance from the CE. The ePHI involved included names, social security numbers, medical identification numbers, addresses, dates of birth, email addresses, and employment information. OCR reviewed the BA agreement and determined that it appeared to comply with the requirements of the HIPAA Privacy and Security Rules. OCR opened a separate review of Anthem, which resulted in Anthem agreeing to pay a monetary settlement and undertaking a robust corrective action plan to comply with the HIPAA Rules.",1.0,0,0.0,0.0,0.0,0.0,0.0,McDermott Will  Emery  is the plan sponsor for the McDermott medical plan,2015.0,3.0,24.0,1.0,1.0,0,13.0,0,0,0,0,1,0,0,1,0
Career Education Corporation,IL,Health Plan,2743.0,2015-03-19,Hacking/IT Incident,Network Server,Yes,"Blue Cross and Blue Shield of Illinois, a business associate (BA) of Career Education Corporation, the covered entity (CE), stored the CE’s electronic protected health information (ePHI) on computer servers belonging to its parent corporation, Anthem, Inc.  Anthem experienced a series of cyberattacks which exposed the electronic protected health information (ePHI) of almost 79 million people, affecting 2,743 individuals who received health insurance from the CE.  The ePHI involved included names, social security numbers, medical identification numbers, addresses, dates of birth, email addresses, and employment information.  OCR reviewed the BA agreement and determined that it appeared to comply with the requirements of the HIPAA Privacy and Security Rules. OCR opened a separate review of Anthem, which resulted in Anthem agreeing to pay a monetary settlement and undertaking a robust corrective action plan to comply with the HIPAA Rules.",1.0,0,0.0,0.0,0.0,0.0,0.0,Career Education Corporation,2015.0,3.0,19.0,1.0,3.0,0,12.0,0,0,0,0,1,0,0,1,0
EyeCare of Bartlesville,OK,Healthcare Provider,4000.0,2015-03-13,Hacking/IT Incident,"Desktop Computer, Network Server",No,"The covered entity’s (CE) database was hacked and held by an outside malware virus.  The computer server’s hard drive contained the unencrypted, password protected health information (PHI) of approximately 4,000 individuals.  The electronic PHI (ePHI) contained names, addresses, telephone numbers, dates of birth, insurance identification numbers, and diagnosis codes.  Since the malware virus was discovered, the CE confirmed that nothing had been copied or removed from the computer, just locked.  The CE destroyed the hard drive so that no further access to the hard drive was possible. The CE provided breach notification to HHS, affected individuals, and posted notice on its website.  In addition, the CE retrained workforce members, and instituted a requirement of quarterly employee privacy and security awareness training.  The CE improved safeguards by changing all passwords.  Following OCR’s investigation, the CE further improved safeguards by changing anti-virus software, encrypting all information saved to its hard drive, and moving ePHI to a cloud based system. It revised procedures to require weekly computer virus scans and monthly audit reports. It also changed vendors to those that require HIPAA training.  Finally, OCR reviewed the CE’s comprehensive risk analysis plan.",1.0,0,0.0,0.0,0.0,0.0,0.0,EyeCare of Bartlesville,2015.0,3.0,13.0,1.0,4.0,0,11.0,1,0,0,0,1,0,0,0,1
St. Mary's Health,IN,Healthcare Provider,3952.0,2015-03-05,Hacking/IT Incident,Email,No,"On December 3, 2014, the covered entity (CE), St. Mary’s Health, discovered that a phishing email attack compromised several employees’ user names and passwords. The breach affected approximately 3,952 individuals. The types of protected health information (PHI) involved in the breach included patients’ names, addresses, date of birth, clinical information, and in some instances, social security numbers. The CE provided breach notification to HHS, affected individuals and the media. Following the breach, the CE  deployed a program to assist users in identifying phishing and malware attacks. OCR obtained documented assurances that the CE implemented the corrective actions listed above.  

",1.0,0,0.0,0.0,0.0,0.0,0.0,St Marys Health,2015.0,3.0,5.0,1.0,3.0,0,10.0,0,0,1,0,0,0,0,0,1
Advance Rehabilitation & Consulting LTD,GA,Healthcare Provider,570.0,2015-03-02,Hacking/IT Incident,Network Server,No,"On December 30, 2014, the covered entity (CE), Advance Rehabilitation & Consulting LTD, discovered that a port on one of its servers was publically accessible to the Internet and allowed an automated botnet attack to the server.  Internal investigation revealed that one spreadsheet from 2009 was accessed, but there was no way of knowing if the spreadsheet was viewed.  The spreadsheet contained patients' names, diagnoses, dates of visits, account types, and therapists'/physicians' names for 570 patients.  In response to the breach, the CE conducted a security risk analysis and improved deficient areas with a detailed risk management plan. The CE provided breach notification to HHS and affected individuals.  OCR provided technical assistance regarding media notification and such notification was made.  OCR obtained assurances that the CE implemented the corrective actions listed above.",1.0,0,0.0,0.0,0.0,0.0,0.0,Advance Rehabilitation  Consulting LTD,2015.0,3.0,2.0,1.0,0.0,0,10.0,0,0,0,0,1,0,0,0,1
"Ronald D. Garrett-Roe, MD",TX,Healthcare Provider,1600.0,2015-01-23,Hacking/IT Incident,Desktop Computer,No,"Alleged hackers gained unauthorized access to one or two hard drives on the desktop computers of the covered entity (CE), Dr. Ronald D. Garrett-Roe, affecting approximately 1,600 patients’ protected health information.  The CE reported that the hard drive had been removed, all of the files copied, and the hard drive formatted, which caused all of the computer programs, the operating system, and many patient records to be erased.   Dr. Garrett-Roe is no longer a covered entity.
",1.0,0,0.0,0.0,0.0,0.0,0.0,Ronald D GarrettRoe MD,2015.0,1.0,23.0,1.0,4.0,0,4.0,1,0,0,0,0,0,0,0,1
VA Corporate Data Center Operations/Austin Information Technology Center ,TX,Healthcare Provider,7029.0,2015-01-07,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Veterans Health Administration, discovered that its public facing telehealth website administered by one of its business associates (BA), AuthentiDate Holding Corporation, potentially impermissibly disclosed the protected health information (PHI) of 7,054 individuals.  The types of PHI potentially involved in the breach included names, addresses, birthdates, phone numbers, and VA patient identification numbers of veterans who used the telehealth system.  The CE provided breach notification to individuals, HHS, and the media, and also provided credit monitoring to the affected individuals.  OCR verified that the CE had a proper BA agreement in place that restricted the BA’s use and disclosure of PHI and required the BA to safeguard all PHI.  Upon discovery of the breach, the CE took steps to enforce the requirements of its BA agreement and determined not to renew the agreement with the identified BA.  The CE reported that they are no longer doing business with the identified BA.  OCR opened a separate case to review the BA’s compliance with the HIPAA Security Rule. ",1.0,0,0.0,0.0,0.0,0.0,0.0,VA Corporate Data Center OperationsAustin Information Technology Center ,2015.0,1.0,7.0,1.0,2.0,0,2.0,0,0,0,0,1,0,0,0,1
"Mercy Medical Center Redding - Oncology Clinic, Privacy Manager Breach",CA,Healthcare Provider,616.0,2014-12-22,Hacking/IT Incident,Other,No,"On December 13, 2014, the covered entity (CE), Mercy Medical Center’s Redding Oncology Clinic, reported that electronic protected health information (ePHI) was accessible on the Internet when its business associate (BA), Write-Type, Inc., left the ePHI on its website.  The website contained the ePHI of approximately 616 individuals and included names, addresses, medical record numbers, physicians’ names, and clinical information such as diagnoses, medications, lab reports, and other treatment information.  The CE provided breach notification to HHS, affected individuals and the media.  The CE revised its policies and procedures.  OCR obtained assurances that the CE implemented the corrective actions noted above.",1.0,1,0.0,0.0,0.0,0.0,0.0,Mercy Medical Center Redding  Oncology Clinic Privacy Manager Breach,2014.0,12.0,22.0,4.0,0.0,0,52.0,0,0,0,0,0,0,0,0,1
M&M Computer Services,TX,Business Associate,4500.0,2014-10-10,Hacking/IT Incident,Network Server,Yes,"An unknown third party intruder hacked into a server of a business associate (BA) which maintained electronic health records for the covered entity (CE), Penn Highlands Brookville.  The breach potentially affected the protected health information (PHI) of 4,500 individuals and included names, dates of birth, social security numbers, and clinical information.  The CE provided breach notification to HHS, affected individuals, and the media, and offered affected individuals one year of credit monitoring. Following the breach, the CE terminated its relationship with the BA.  OCR initiated a compliance review of the BA in July of 2015, but learned that it was no longer doing business or acting as a BA.  As a result of OCR’s investigation, the CE developed a checklist to use to ensure that electronic health record systems used by medical practices acquired by the CE comply with the HIPAA Privacy and Security Rules and to ensure that proper BA agreements are in place.",1.0,0,0.0,0.0,0.0,0.0,0.0,MM Computer Services,2014.0,10.0,10.0,4.0,4.0,0,41.0,0,0,0,0,1,0,0,1,0
"UC Davis Medical Center, Privacy Manager Breach",CA,Healthcare Provider,1326.0,2014-10-08,Hacking/IT Incident,Email,No,\N,1.0,0,0.0,0.0,0.0,0.0,0.0,UC Davis Medical Center Privacy Manager Breach,2014.0,10.0,8.0,4.0,2.0,0,41.0,0,0,1,0,0,0,0,0,1
Cook County Health and Hospitals System,IL,Healthcare Provider,767.0,2014-09-15,Hacking/IT Incident,Email,Yes,\N,1.0,0,0.0,0.0,0.0,0.0,0.0,Cook County Health  Hospitals System,2014.0,9.0,15.0,3.0,0.0,0,38.0,0,0,1,0,0,0,0,1,0
University Health,LA,Healthcare Provider,6073.0,2014-08-15,Hacking/IT Incident,Network Server,No,"On August 15, 2014, the covered entity (CE), University Health, reported a breach when a professor from City College of San Francisco notified them by email of security issues.  Protected health information (PHI) from the E.A. Conway Medical Center was contained on an unsecured server that was accessible online.  The types of PHI involved in the breach included financial and medical information and affected 6,075 individuals.  The CE immediately took the server off-line, which discontinued any unauthorized access.  The CE provided breach notification to HHS, affected individuals, and the media.  Following the incident, the CE hired a third-party company to conduct and assess a thorough external penetration test.  OCR obtained assurances that the CE implemented the corrective actions listed above.",1.0,0,0.0,0.0,0.0,0.0,0.0,University Health,2014.0,8.0,15.0,3.0,4.0,0,33.0,0,0,0,0,1,0,0,0,1
Children's Mercy Hospital,MO,Business Associate,4067.0,2014-08-15,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Children's Mercy Hospital, reported that the protected health information (PHI) of 4,067 individuals stored in an online registration system by the subcontractor, Onsite Health Diagnostics, of its business associate (BA), StayWell Health Management, was hacked.  The hacked information included names, encrypted passwords, email addresses, physical addresses, phone numbers, genders, and dates of birth.  Because the subcontractor-generated passwords were encrypted/hashed, they were rendered unusable.  The CE provided breach notification to HHS, affected individuals, and the media.  The CE reported that the subcontractor moved all data from the affected scheduling application, moved all of its clients to a new scheduling platform, and completely decommissioned the vulnerable platform.  The subcontractor also conducted a comprehensive security audit and found no other improper uses of protected health information or vulnerabilities.  As a result of OCR's investigation, the CE provided documentation substantiating all actions taken.  ",1.0,0,0.0,0.0,0.0,0.0,0.0,Childrens Mercy Hospital,2014.0,8.0,15.0,3.0,4.0,0,33.0,0,0,0,0,1,0,0,1,0
"24 ON Physicians, PC/In Compass Health,Inc.",GA,Business Associate,520.0,2014-08-14,"Hacking/IT Incident, Other",Network Server,Yes,"On December 1, 2013, a subcontractor of 20 ON Physicians PC/ In Compass Health Inc., Williamson Medical Center’s former business associate (BA), unintentionally made a computer server containing protected health information (PHI) potentially available for access on the internet.  The PHI that was potentially available on the internet included the names, dates of service, charge amounts, and billing codes of 520 patients.  The CE investigated and verified that its BA and its subcontractor had taken all necessary corrective steps to mitigate the breach.  Specifically, the subject server was removed from public internet access, all data provided to the subcontractor was destroyed, and all cached pages were removed.  Additionally, the CE worked with the BA to provide breach notification to HHS, affected individuals, and the media, and also posted substitute notice on its website.  Additionally, the CE reviewed and confirmed that all of its BA agreements contain provisions addressing subcontractors and data security and conducted an in-depth review of its risk analysis.  A separate breach investigation was opened for the BA, 20 ON Physicians PC/In Compass Health Inc.  OCR reviewed the BA agreement and Breach Notification Rule policy and determined that they were sufficient.",1.0,0,0.0,0.0,0.0,0.0,0.0,24 ON Physicians PCIn Compass HealthInc,2014.0,8.0,14.0,3.0,3.0,0,33.0,0,0,0,0,1,0,0,1,0
Apple Valley Care Center,CA,Healthcare Provider,1251.0,2014-08-12,Hacking/IT Incident,Network Server,No,\N,1.0,0,0.0,0.0,0.0,0.0,0.0,Apple Valley Care Center,2014.0,8.0,12.0,3.0,1.0,0,33.0,0,0,0,0,1,0,0,0,1
"StayWell Health Management, LLC",MN,Business Associate,4487.0,2014-07-31,Hacking/IT Incident,Network Server,Yes,\N,1.0,0,0.0,0.0,0.0,0.0,0.0,StayWell Health Management ,2014.0,7.0,31.0,3.0,3.0,0,31.0,0,0,0,0,1,0,0,1,0
D&J Optical Inc. ,AL,Health Plan,1100.0,2014-07-07,Hacking/IT Incident,Desktop Computer,No,"In June 2014, the covered entity (CE), D&J Optical, suspected that a former independently contracted optometrist had created credentials for herself and accessed electronic protected health information (ePHI) without authorization.  This inappropriate access would have exposed the demographic and clinical information of 1,100 individuals.  The CE filed a breach report with HHS and met the requirements of the Breach Notification Rule.  In response to this suspected incident, the CE increased security for access to its server and software, eliminated wireless internet capabilities in its office, and strengthened procedures for password access.  OCR reviewed evidence of the subsequent investigation by a computer forensic expert which revealed that no inappropriate access had occurred and no ePHI was disclosed.   ",1.0,0,0.0,0.0,0.0,0.0,0.0,DJ Optical  ,2014.0,7.0,7.0,3.0,0.0,0,28.0,1,0,0,0,0,0,0,0,1
"Doctors First Choice Billings, Inc.",FL,Business Associate,1831.0,2014-06-12,Hacking/IT Incident,Other,Yes,\N,1.0,1,0.0,0.0,0.0,0.0,0.0,Doctors First Choice Billings ,2014.0,6.0,12.0,2.0,3.0,0,24.0,0,0,0,0,0,0,0,1,0
"Ferguson Advertising, Inc.",IN,Business Associate,1361.0,2014-04-25,Hacking/IT Incident,Network Server,Yes,\N,1.0,0,0.0,0.0,0.0,0.0,0.0,Ferguson Advertising ,2014.0,4.0,25.0,2.0,4.0,0,17.0,0,0,0,0,1,0,0,1,0
HealthTexas Provider Network,TX,Healthcare Provider,2742.0,2014-04-25,Hacking/IT Incident,Email,No,\N,1.0,0,0.0,0.0,0.0,0.0,0.0,HealthTexas Provider Network,2014.0,4.0,25.0,2.0,4.0,0,17.0,0,0,1,0,0,0,0,0,1
Baylor Regional Medical Center at Plano,TX,Healthcare Provider,1981.0,2014-04-25,Hacking/IT Incident,Email,No,\N,1.0,0,0.0,0.0,0.0,0.0,0.0,Baylor Regional Medical Center at Plano,2014.0,4.0,25.0,2.0,4.0,0,17.0,0,0,1,0,0,0,0,0,1
Baylor Medical Center at Irving,TX,Healthcare Provider,2308.0,2014-04-25,Hacking/IT Incident,Email,No,\N,1.0,0,0.0,0.0,0.0,0.0,0.0,Baylor Medical Center at Irving,2014.0,4.0,25.0,2.0,4.0,0,17.0,0,0,1,0,0,0,0,0,1
Baylor Medical Center at McKinney,TX,Healthcare Provider,1253.0,2014-04-25,Hacking/IT Incident,Email,No,\N,1.0,0,0.0,0.0,0.0,0.0,0.0,Baylor Medical Center at McKinney,2014.0,4.0,25.0,2.0,4.0,0,17.0,0,0,1,0,0,0,0,0,1
Sorenson Communications/CaptionCall Group Health Plan,UT,Health Plan,9800.0,2014-04-24,Hacking/IT Incident,Network Server,Yes,"Sorenson Communications filed a breach report on behalf of its CaptionCall Group Health Plan indicating that, between February 20 and March 3, 2014, an unknown third party hacked into the CaptionCall account with Sorenson’s payroll vendor which compromised employment-related information gathered by Sorenson from and about its employees, their dependents, beneficiaries, and/or emergency contacts.  The breach affected approximately 9,800 individuals.  Sorenson provided notice to HHS, affected individuals, and the media.  After verifying the circumstances of the breach and the character of the breached information, OCR closed the breach upon determining that the hacked data constituted employment records, which are excluded from the definition of PHI.  ",1.0,0,0.0,0.0,0.0,0.0,0.0,Sorenson CommunicationsCaptionCall Group Health Plan,2014.0,4.0,24.0,2.0,3.0,0,17.0,0,0,0,0,1,0,0,1,0
KP Northern CA Department of Research,CA,Healthcare Provider,5178.0,2014-04-02,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Kaiser Permanente Northern California Division of Research, reported a breach of 5,178 individuals’ electronic protected health information (e-PHI), as a result of a malware software infection on its computer server. The types of ePHI involved in the breach included names, dates of birth, genders, addresses, race/ethnicity information, medical record numbers, lab results, and responses patients provided to research-related questions.  The CE provided breach notification to HHS, affected individuals, and the media.  Following the breach, the CE conducted an updated security analysis, revised its policies and procedures, and provided training to its workforce members.  OCR obtained written assurances that the CE implemented the corrective actions noted above and provided technical assistance regarding the HIPAA Security Rule.


",1.0,0,0.0,0.0,0.0,0.0,0.0,KP Northern CA Department of Research,2014.0,4.0,2.0,2.0,2.0,0,14.0,0,0,0,0,1,0,0,0,1
"Midwest Orthopaedics at Rush, LLC",IL,Healthcare Provider,1256.0,2014-03-31,Hacking/IT Incident,Email,No,"On February 10, 2014, an unknown party gained unauthorized access to the personal email account of a physician at Midwest Orthopaedics at Rush, the covered entity (CE), disclosing protected health information (PHI) that affected approximately 1,256 individuals. The emails contained electronic PHI including names, physicians' surgical schedules, surgical descriptions, codes, dates and instructions. The CE provided breach notification to HHS, affected individuals, and the media.  The CE also conducted an investigation and determined the root cause of the breach.  Additionally, the CE disabled the physician’s Gmail account to which the PHI was sent, and trained the physician and his staff on the use of the secure email.  The CE revised email procedures by eliminating   all external email addresses from the CE's distribution list of physicians and support staff and discontinued the use of outside email addresses for sending or receiving of PHI.  OCR obtained documented assurances that the CE implemented the corrective actions listed above.",1.0,0,0.0,0.0,0.0,0.0,0.0,Midwest Orthopaedics at Rush ,2014.0,3.0,31.0,1.0,0.0,0,14.0,0,0,1,0,0,0,0,0,1
Valley View Hospital Association,CO,Healthcare Provider,5415.0,2014-03-14,Hacking/IT Incident,"Desktop Computer, Laptop",No,"On January 25, 2014, Valley View Hospital Association, the covered entity (CE), discovered that malware infected 172 of its computer workstations.  The CE determined that, on 90 of the 172 infected workstations, the malware took screen shots of the electronic protected health information (ePHI) belonging to 5,415 individuals, and the malware stored those screen shots as encrypted files “hidden” on the workstations’ hard drives. The screen shots contained names, social security numbers, and other demographic information as well as credit card information. The CE provided breach notification to HHS, affected individuals, and the media. Following the breach, the CE deployed anti-virus software and cleaned the malware from its systems. OCR’s investigation resulted in the CE revising its procedures for safeguarding ePHI and protecting against malicious software. OCR provided technical assistance to the CE regarding the Security Rule’s risk analysis and risk management requirements. OCR also obtained an assurance from the CE that it would update its risk analysis and risk management plan.",1.0,0,0.0,0.0,0.0,0.0,0.0,Valley View Hospital Association,2014.0,3.0,14.0,1.0,4.0,0,11.0,1,0,0,1,0,0,0,0,1
"PracMan, Inc.",AL,Business Associate,1179.0,2014-03-10,Hacking/IT Incident,Network Server,Yes,\N,1.0,0,0.0,0.0,0.0,0.0,0.0,PracMan ,2014.0,3.0,10.0,1.0,0.0,0,11.0,0,0,0,0,1,0,0,1,0
"PracMan, Inc.",AL,Business Associate,1145.0,2014-03-07,Hacking/IT Incident,Network Server,Yes,"On January 10, 2014, a business associate (BA), PracMan, Inc., of two covered entities (CE), Monarch Women’s Health (Monarch) and Punuru J.M. Reddy, M.D., Inc. (Dr. Reddy), impermissibly disclosed the protected health information (PHI) of the CEs’ patients when the BA’s technology subcontractor, MASHNet, copied and stored computer files in error on an unsecured server.  The PHI included demographic, clinical, and financial information, including names, account numbers, insurance providers, procedures, diagnoses, social security numbers (SSN), and account balances affecting approximately 1,179 of Dr. Reddy’s patients and approximately 1,145 of Monarch’s patients.  The BA provided breach notification to HHS, affected individuals, and the media.  It also established a toll-free number and website dedicated to providing information regarding the breach, and offered one year of free credit monitoring to individuals whose SSN was potentially exposed online.  In response to the breach, the BA engaged a third party to perform a risk analysis of its operations and updated its privacy and security policies.  The BA ensured that the data was removed from the unsecured server and all cached copies of links to the PHI were removed.  OCR obtained assurances that the BA implemented the corrective actions listed above.  Additionally, the BA terminated its relationship with the subcontractor and restructured its corporate network.  ",1.0,0,0.0,0.0,0.0,0.0,0.0,PracMan ,2014.0,3.0,7.0,1.0,4.0,0,10.0,0,0,0,0,1,0,0,1,0
St. Joseph Health System,TX,Business Associate,3300.0,2014-03-05,Hacking/IT Incident,Network Server,Yes,\N,1.0,0,0.0,0.0,0.0,0.0,0.0,St Joseph Health System,2014.0,3.0,5.0,1.0,2.0,0,10.0,0,0,0,0,1,0,0,1,0
"UC Davis Medical Center, Privacy Manager Breach",CA,Healthcare Provider,2269.0,2014-02-14,Hacking/IT Incident,Email,No,"The covered entity (CE), University of California, Davis Medical Center, reported that on December 13, 2013, a fraudulent phishing email was sent to employees.  The email instructed employees to go to a fraudulent website and input authentication credentials.  Three employee email accounts were impacted by the phishing scam.  The email accounts contained the electronic protected health information (ePHI) of approximately 2,269 individuals.  The types of ePHI potentially affected by the incident included patient names, medical record numbers, and limited health information.  The CE determined that there was a low probability that specific email content was accessed during this event.  The CE provided breach notification to HHS, affected individuals, and the media.  Immediately following its discovery of the breach incident, the CE took steps to mitigate harm including blocking further access to the initiating IP address, deleting all similar phishing emails from employee accounts, and immediately notifying staff of the pending threat.  In response to this incident, the CE implemented a new procedure to help guard against, detect, and report malicious software.  OCR obtained assurances that the CE implemented the corrective action described above. ",1.0,0,0.0,0.0,0.0,0.0,0.0,UC Davis Medical Center Privacy Manager Breach,2014.0,2.0,14.0,1.0,4.0,0,7.0,0,0,1,0,0,0,0,0,1
